conversation_id,persona_label,quarter,n_msg,n_q,q_rate
425,GPT (Control),Q1,2,1,0.5
425,GPT (Control),Q2,2,2,1.0
425,GPT (Control),Q3,2,1,0.5
425,GPT (Control),Q4,1,1,1.0
426,GPT (Control),Q1,2,1,0.5
426,GPT (Control),Q2,2,0,0.0
426,GPT (Control),Q3,2,1,0.5
426,GPT (Control),Q4,1,1,1.0
428,GPT (Control),Q1,2,1,0.5
428,GPT (Control),Q2,2,0,0.0
428,GPT (Control),Q3,2,1,0.5
428,GPT (Control),Q4,1,0,0.0
429,GPT (Control),Q1,3,1,0.3333333333333333
429,GPT (Control),Q2,2,1,0.5
429,GPT (Control),Q3,3,1,0.3333333333333333
429,GPT (Control),Q4,2,0,0.0
431,GPT (Control),Q1,5,3,0.6
431,GPT (Control),Q2,4,2,0.5
431,GPT (Control),Q3,4,3,0.75
431,GPT (Control),Q4,4,1,0.25
432,GPT (Control),Q1,2,1,0.5
432,GPT (Control),Q2,2,2,1.0
432,GPT (Control),Q3,2,0,0.0
432,GPT (Control),Q4,2,0,0.0
433,GPT (Control),Q1,3,2,0.6666666666666666
433,GPT (Control),Q2,2,2,1.0
433,GPT (Control),Q3,3,3,1.0
433,GPT (Control),Q4,2,2,1.0
434,GPT (Control),Q1,3,1,0.3333333333333333
434,GPT (Control),Q2,2,1,0.5
434,GPT (Control),Q3,2,1,0.5
434,GPT (Control),Q4,2,1,0.5
436,GPT (Control),Q1,2,0,0.0
436,GPT (Control),Q2,1,1,1.0
436,GPT (Control),Q3,2,0,0.0
436,GPT (Control),Q4,1,0,0.0
437,GPT (Control),Q1,1,0,0.0
437,GPT (Control),Q2,1,1,1.0
437,GPT (Control),Q3,1,0,0.0
439,Divergent,Q1,4,1,0.25
439,Divergent,Q2,3,1,0.3333333333333333
439,Divergent,Q3,3,0,0.0
439,Divergent,Q4,3,0,0.0
440,Divergent,Q1,2,1,0.5
440,Divergent,Q2,2,0,0.0
440,Divergent,Q3,2,0,0.0
440,Divergent,Q4,1,0,0.0
441,Divergent,Q1,3,1,0.3333333333333333
441,Divergent,Q2,2,0,0.0
441,Divergent,Q3,2,1,0.5
441,Divergent,Q4,2,0,0.0
442,Divergent,Q1,2,1,0.5
442,Divergent,Q2,2,0,0.0
442,Divergent,Q3,2,0,0.0
442,Divergent,Q4,1,0,0.0
443,Divergent,Q1,3,1,0.3333333333333333
443,Divergent,Q2,2,0,0.0
443,Divergent,Q3,2,0,0.0
443,Divergent,Q4,2,0,0.0
444,Divergent,Q1,2,1,0.5
444,Divergent,Q2,1,0,0.0
444,Divergent,Q3,2,2,1.0
444,Divergent,Q4,1,0,0.0
445,Divergent,Q1,2,1,0.5
445,Divergent,Q2,1,1,1.0
445,Divergent,Q3,1,1,1.0
445,Divergent,Q4,1,1,1.0
466,Convergent,Q1,2,1,0.5
466,Convergent,Q2,2,1,0.5
466,Convergent,Q3,2,0,0.0
466,Convergent,Q4,1,0,0.0
467,Convergent,Q1,3,1,0.3333333333333333
467,Convergent,Q2,2,0,0.0
467,Convergent,Q3,2,0,0.0
467,Convergent,Q4,2,1,0.5
468,Convergent,Q1,2,1,0.5
468,Convergent,Q2,2,0,0.0
468,Convergent,Q3,2,2,1.0
468,Convergent,Q4,2,1,0.5
469,Convergent,Q1,2,1,0.5
469,Convergent,Q2,2,0,0.0
469,Convergent,Q3,2,0,0.0
469,Convergent,Q4,1,0,0.0
470,GPT (Control),Q1,3,1,0.3333333333333333
470,GPT (Control),Q2,2,1,0.5
470,GPT (Control),Q3,2,0,0.0
470,GPT (Control),Q4,2,1,0.5
471,GPT (Control),Q1,2,1,0.5
471,GPT (Control),Q2,1,0,0.0
471,GPT (Control),Q3,2,0,0.0
471,GPT (Control),Q4,1,0,0.0
472,GPT (Control),Q1,2,1,0.5
472,GPT (Control),Q2,2,2,1.0
472,GPT (Control),Q3,2,1,0.5
472,GPT (Control),Q4,2,0,0.0
473,GPT (Control),Q1,2,1,0.5
473,GPT (Control),Q2,2,2,1.0
473,GPT (Control),Q3,2,2,1.0
473,GPT (Control),Q4,2,2,1.0
474,Convergent,Q1,2,1,0.5
474,Convergent,Q2,2,0,0.0
474,Convergent,Q3,2,0,0.0
474,Convergent,Q4,1,0,0.0
475,GPT (Control),Q1,2,1,0.5
475,GPT (Control),Q2,1,0,0.0
475,GPT (Control),Q3,1,0,0.0
475,GPT (Control),Q4,1,0,0.0
